div_size,avg_time
3,3.474900
5,3.784100
7,3.720900
9,3.482100
11,3.404100
13,3.342500
15,3.710400
17,3.700900
19,4.026100
21,4.195000
23,4.381000
25,4.151900
27,4.771400
29,4.679700
31,4.771500
33,4.440700
35,4.258900
37,5.054900
39,5.628500
41,5.202000
43,5.659900
45,5.738600
47,5.973700
49,6.328500
51,6.927900
53,6.510400
55,6.607700
57,7.343100
59,6.921000
61,6.907400
63,6.972400
65,8.230900
67,8.072500
69,7.482800
71,7.592200
73,7.866300
75,8.186300
77,7.774400
79,8.014800
81,8.265300
83,7.129100
85,7.344700
87,7.213500
89,7.272100
91,7.772100
93,7.833100
95,7.545200
97,8.120600
99,8.900500
101,8.133100
103,7.987200
105,8.262300
107,8.224900
109,8.469500
111,8.964000
113,9.064500
115,8.729800
117,9.202600
119,8.937200
121,9.365000
123,9.082600
125,9.471700
127,9.550900
129,9.662100
131,9.814200
133,9.752800
135,9.490500
137,10.016600
139,10.214900
141,10.076700
143,10.073700
145,13.479300
147,10.600900
149,10.381500
151,10.547000
153,10.686400
155,10.792500
157,11.196200
159,11.181700
161,10.994400
163,11.258500
165,11.069900
167,12.486200
169,19.229700
171,20.388200
173,16.604900
175,15.126000
177,21.313400
179,12.298900
181,11.959300
183,11.930300
185,12.198300
187,13.248000
189,21.199800
191,13.894800
193,12.579800
195,18.659500
197,22.649600
199,22.084200
201,22.705800
203,20.912000
205,23.089600
207,22.890700
209,24.132600
211,16.587900
213,15.248900
215,13.958900
217,14.211100
219,13.991200
221,14.789200
223,14.406000
225,15.483700
227,16.459200
229,14.604300
231,26.926500
233,19.086600
235,23.066900
237,19.657300
239,18.022200
241,24.423100
243,24.834400
245,20.977700
247,15.642500
249,15.386800
251,15.907200
253,15.720000
255,15.982600
257,16.483600
259,17.383500
261,16.260300
263,16.231600
265,16.188000
267,16.386100
269,16.710200
271,16.493200
273,17.019800
275,16.881800
277,17.107800
279,17.244600
281,17.484800
283,17.163200
285,17.637800
287,17.568400
289,18.193000
291,17.474400
293,17.804200
295,18.540200
297,18.378800
299,18.326600
301,18.228400
303,18.386200
305,18.590200
307,19.006200
309,18.788600
311,19.129600
313,18.898000
315,19.054400
317,19.325400
319,19.241199
321,19.554800
323,19.834000
325,19.966000
327,19.944200
329,19.685200
331,19.491600
333,20.441200
335,20.757400
337,22.207800
339,21.045600
341,24.682800
343,21.783600
345,21.199800
347,20.707600
349,20.634000
351,21.614200
353,21.695000
355,20.860400
357,21.429600
359,21.557000
361,21.274600
363,22.361400
365,22.310800
367,22.220400
369,22.294400
371,21.849200
373,22.117000
375,22.313400
377,23.160000
379,22.631000
381,22.497400
383,23.251000
385,23.197200
387,23.336800
389,23.652800
391,23.173400
393,23.438200
395,24.489200
397,23.188600
399,23.173600
401,23.565400
403,24.240600
405,24.954200
407,24.546000
409,24.631600
411,23.652400
413,25.929200
415,24.504800
417,24.221800
419,24.677200
421,25.121000
423,24.914800
425,26.426000
427,25.175600
429,25.238800
431,24.886000
433,25.147200
435,25.398000
437,25.546400
439,26.506000
441,25.706000
443,26.378400
445,26.291600
447,25.668800
449,27.082400
451,25.809600
453,26.248000
455,26.323200
457,26.008800
459,27.081200
461,27.267600
463,26.590800
465,26.726400
467,26.645200
469,27.394800
471,28.034400
473,27.082800
475,27.659600
477,30.420400
479,28.754000
481,27.134800
483,28.041600
485,28.647600
487,29.173200
489,28.276400
491,28.339600
493,28.018400
495,28.312800
497,29.106400
499,28.895600
501,28.928000
503,29.852000
505,29.176400
507,28.954800
509,29.776800
511,29.632400
513,29.714400
515,30.574000
517,31.955600
519,30.985600
521,29.800000
523,30.492400
525,30.351200
527,29.992800
529,30.228800
531,30.581600
533,30.643600
535,30.193600
537,32.403600
539,30.799600
541,30.801600
543,42.741600
545,32.129200
547,30.768400
549,31.512800
551,31.916000
553,32.694800
555,32.083600
557,32.398000
559,31.935600
561,33.017600
563,32.564800
565,32.519200
567,32.487200
569,32.543200
571,33.472001
573,32.476400
575,34.831601
577,33.448000
579,33.021200
581,34.192800
583,34.179200
585,34.706001
587,33.984400
589,34.177200
591,35.269199
593,34.615199
595,33.449200
597,34.426400
599,34.351200
601,34.210400
603,34.399200
605,35.791600
607,35.524001
609,61.760400
611,51.810799
613,37.064800
615,34.825201
617,38.713600
619,35.969200
621,46.840400
623,47.082000
625,36.230400
627,34.785601
629,35.794800
631,34.998000
633,35.917600
635,36.503201
637,36.489600
639,36.749600
641,37.140800
643,36.317600
645,36.586400
647,37.328000
649,38.228800
651,39.474400
653,40.025599
655,38.684800
657,37.600799
659,40.114400
661,48.764000
663,37.517599
665,37.410400
667,37.675200
669,38.490400
671,38.139200
673,43.516800
675,39.620800
677,39.885600
679,40.586400
681,41.509600
683,40.192800
685,39.464000
687,39.156000
689,39.977600
691,39.986400
693,39.300000
695,41.791200
697,39.644801
699,41.152800
701,41.529601
703,40.293600
705,41.238399
707,39.778399
709,40.504000
711,44.964800
713,42.665600
715,41.348000
717,40.689600
719,43.255200
721,41.839200
723,41.970399
725,41.625600
727,41.620799
729,50.922400
731,64.235200
733,58.713600
735,42.146400
737,43.222400
739,43.234400
741,41.487200
743,41.020000
745,44.059200
747,42.073600
749,41.745601
751,43.555999
753,44.990400
755,42.340800
757,44.216000
759,45.380000
761,43.134400
763,45.633601
765,51.033600
767,48.219200
769,46.193600
771,48.029600
773,48.040000
775,47.265599
777,45.750400
779,47.365600
781,45.483200
783,44.970400
785,45.341600
787,45.943200
789,48.510399
791,46.437600
793,46.533600
795,45.245600
