arr_size,avg_partition_size
100,45.799999
200,89.000000
300,136.899994
400,190.699997
500,229.199997
600,283.399994
700,319.100006
800,322.399994
900,395.100006
1000,448.399994
1100,487.500000
1200,543.299988
1300,583.400024
1400,641.799988
1500,700.799988
1600,770.900024
1700,788.099976
1800,840.799988
1900,895.500000
2000,938.799988
2100,952.099976
2200,1035.000000
2300,1081.000000
2400,1135.300049
2500,1185.400024
2600,1258.099976
2700,1292.400024
2800,1345.800049
2900,1332.800049
3000,1423.800049
3100,1486.599976
3200,1367.900024
3300,1286.400024
3400,1541.400024
3500,1602.099976
3600,1621.599976
3700,1731.099976
3800,1594.599976
3900,1818.800049
4000,1829.199951
4100,1870.900024
4200,1913.699951
4300,1950.400024
4400,2047.300049
4500,2100.800049
4600,2100.699951
4700,2154.699951
4800,2262.800049
4900,2299.399902
5000,2361.399902
5100,2319.199951
5200,2431.800049
5300,2465.000000
5400,2545.600098
5500,2555.100098
5600,2600.800049
5700,2638.300049
5800,2742.500000
5900,2823.199951
6000,2837.600098
6100,2838.000000
6200,2828.800049
6300,3055.500000
6400,3029.100098
6500,3081.000000
6600,3147.300049
6700,3216.699951
6800,3289.199951
6900,3283.800049
7000,3320.699951
7100,3303.500000
7200,3377.800049
7300,3424.899902
7400,3514.399902
7500,3552.199951
7600,3648.600098
7700,3673.699951
7800,3729.199951
7900,3825.100098
8000,3854.600098
8100,3885.100098
8200,3923.699951
8300,3994.000000
8400,3948.199951
8500,4114.799805
8600,4050.100098
8700,4140.299805
8800,4123.899902
8900,4284.200195
9000,4262.200195
9100,4356.500000
9200,4403.899902
9300,4436.799805
9400,4456.700195
9500,4454.000000
9600,4549.600098
9700,4583.200195
9800,4647.200195
9900,4715.500000
10000,4660.399902
10100,4674.200195
10200,4865.299805
10300,4825.100098
10400,4802.600098
10500,4993.799805
10600,4970.799805
10700,5054.700195
10800,5156.100098
10900,5229.799805
11000,5205.299805
11100,5235.000000
11200,5280.200195
11300,5352.799805
11400,5420.200195
11500,5384.000000
11600,5586.299805
11700,5547.100098
11800,5571.799805
11900,5739.600098
12000,5694.500000
12100,5758.200195
12200,5856.399902
12300,5811.000000
12400,5915.200195
12500,5940.100098
12600,6018.799805
12700,6117.299805
12800,6163.299805
12900,6131.700195
13000,6173.299805
13100,6303.899902
13200,6280.100098
13300,6395.899902
13400,6428.500000
13500,6406.100098
13600,6458.899902
13700,6504.000000
13800,6565.399902
13900,6661.600098
14000,6720.100098
14100,6784.200195
14200,6816.700195
14300,6806.899902
14400,6918.700195
14500,6941.100098
14600,7022.700195
14700,7019.799805
14800,7034.700195
14900,7167.700195
15000,7197.600098
15100,7166.399902
15200,7223.899902
15300,7353.100098
15400,7364.899902
15500,7442.200195
15600,7409.600098
15700,6987.899902
15800,6086.100098
15900,7312.299805
16000,7391.100098
16100,7373.799805
16200,7638.500000
16300,6968.100098
16400,6428.600098
16500,7448.000000
16600,7821.799805
16700,7657.200195
16800,7515.600098
16900,7938.600098
17000,7912.799805
17100,7912.799805
17200,8073.700195
17300,8055.700195
17400,8163.200195
17500,8397.400391
17600,8324.200195
17700,8151.299805
17800,8102.500000
17900,8585.400391
18000,8370.099609
18100,8405.200195
18200,8561.599609
18300,8397.299805
18400,8759.000000
18500,8711.000000
18600,8842.900391
18700,8882.299805
18800,8586.700195
18900,7382.700195
19000,8884.400391
19100,8660.700195
19200,8529.400391
19300,8909.200195
19400,8136.000000
19500,8775.200195
19600,7966.200195
19700,8772.400391
19800,8346.400391
19900,9264.900391
20000,9084.599609
20100,9296.799805
20200,9303.799805
20300,9328.500000
20400,9594.799805
20500,9315.500000
20600,9617.599609
20700,9586.599609
20800,9342.799805
20900,9638.299805
21000,10035.700195
21100,9697.099609
21200,9701.599609
21300,9965.599609
21400,9938.799805
21500,10013.200195
21600,10276.900391
21700,10156.200195
21800,10357.400391
21900,10405.200195
22000,10440.099609
22100,10569.599609
22200,10532.500000
22300,10680.299805
22400,10731.799805
22500,10702.099609
22600,10803.799805
22700,10668.000000
22800,10805.599609
22900,10967.200195
23000,10865.299805
23100,10889.000000
23200,10993.799805
23300,11163.000000
23400,11118.900391
23500,11252.000000
23600,11258.700195
23700,11349.900391
23800,11297.700195
23900,11355.900391
24000,11529.200195
24100,11457.900391
24200,11496.599609
24300,11609.599609
24400,11652.099609
24500,11699.500000
24600,11808.400391
24700,11848.200195
24800,11878.599609
24900,11923.400391
25000,11998.099609
25100,11681.400391
25200,11882.799805
25300,11925.099609
25400,12194.599609
25500,12124.599609
25600,12134.099609
25700,11956.000000
25800,12330.099609
25900,12279.200195
26000,12330.500000
26100,12380.799805
26200,12424.200195
26300,12478.299805
26400,12150.700195
26500,12499.299805
26600,12490.200195
26700,12679.200195
26800,12620.700195
26900,12871.299805
27000,12681.000000
27100,12847.500000
27200,13035.400391
27300,13071.700195
27400,13038.000000
27500,13094.900391
27600,13119.299805
27700,13004.099609
27800,13197.500000
27900,13104.099609
28000,13415.299805
28100,13340.500000
28200,13483.799805
28300,13573.299805
28400,13619.400391
28500,13661.200195
28600,13698.900391
28700,13747.200195
28800,13675.000000
28900,13831.200195
29000,13840.900391
29100,13952.599609
29200,13995.099609
29300,14062.400391
29400,14031.900391
29500,13881.500000
29600,14205.599609
29700,14165.599609
29800,14267.599609
29900,14351.200195
30000,14329.299805
30100,14429.500000
30200,14199.700195
30300,14468.900391
30400,14515.799805
30500,14450.599609
30600,14599.500000
30700,14580.700195
30800,14745.200195
30900,14775.799805
31000,14823.799805
31100,14881.500000
31200,14890.599609
31300,14832.900391
31400,14998.900391
31500,15060.200195
31600,15102.000000
31700,15132.900391
31800,15166.200195
31900,15265.000000
32000,15329.900391
32100,15342.099609
32200,15383.599609
32300,15446.400391
32400,15456.299805
32500,15527.500000
32600,15588.200195
32700,15634.000000
32800,15702.000000
32900,15696.099609
33000,15815.799805
33100,15794.900391
33200,15839.700195
33300,15926.099609
33400,15988.799805
33500,16002.599609
33600,16022.099609
33700,16106.799805
33800,16162.599609
33900,16154.700195
34000,16245.599609
34100,16327.299805
34200,16289.700195
34300,16541.199219
34400,16422.400391
34500,16478.800781
34600,16369.500000
34700,16545.500000
34800,16556.199219
34900,16565.599609
35000,16739.000000
35100,16766.800781
35200,16848.300781
35300,16851.500000
35400,16744.500000
35500,16973.400391
35600,16971.400391
35700,17027.699219
35800,17079.000000
35900,17096.099609
36000,17264.599609
36100,17211.300781
36200,17290.599609
36300,17320.900391
36400,17265.800781
36500,17434.000000
36600,17348.900391
36700,17503.800781
36800,17596.300781
36900,17625.599609
37000,17684.400391
37100,17746.400391
37200,17782.400391
37300,17781.000000
37400,17866.000000
37500,17938.900391
37600,17951.300781
37700,18005.099609
37800,18077.599609
37900,18077.300781
38000,18178.900391
38100,18153.800781
38200,18259.400391
38300,18276.900391
38400,18310.099609
38500,18394.099609
38600,18454.300781
38700,18488.300781
38800,18492.000000
38900,18527.099609
39000,18608.000000
39100,18671.199219
39200,18688.199219
39300,18810.599609
39400,18813.699219
39500,18885.699219
39600,18934.699219
39700,18943.800781
39800,19010.300781
39900,19077.300781
40000,19118.800781
40100,19162.900391
40200,19209.199219
40300,19246.699219
40400,19311.199219
40500,19331.800781
40600,19408.500000
40700,19442.800781
40800,19475.900391
40900,19550.099609
41000,19547.199219
41100,19628.300781
41200,19687.800781
41300,19668.599609
41400,19761.500000
41500,19812.699219
41600,19847.400391
41700,19926.000000
41800,19978.400391
41900,19945.199219
42000,20071.500000
42100,20146.599609
42200,20152.599609
42300,20373.800781
42400,20268.800781
42500,20248.000000
42600,20353.500000
42700,20410.699219
42800,20398.199219
42900,20543.900391
43000,20521.500000
43100,20556.199219
43200,20577.500000
43300,20711.800781
43400,20687.599609
43500,20731.000000
43600,20836.000000
43700,20872.500000
43800,20852.300781
43900,20908.400391
44000,20983.599609
44100,21038.400391
44200,21096.800781
44300,21175.300781
44400,21234.300781
44500,21189.000000
44600,21254.400391
44700,21381.000000
44800,21384.000000
44900,21447.599609
45000,21504.400391
45100,21486.000000
45200,21592.699219
45300,21620.199219
45400,21636.099609
45500,21715.599609
45600,21760.300781
45700,21807.900391
45800,21884.199219
45900,21890.599609
46000,21981.599609
46100,21963.900391
46200,22007.199219
46300,22151.800781
46400,22183.000000
46500,22197.300781
46600,22274.500000
46700,22339.099609
46800,22309.599609
46900,22393.199219
47000,22431.900391
