arr_size,avg_partition_size
100,45.099998
200,89.300003
300,134.300003
400,156.800003
500,232.100006
600,285.500000
700,332.000000
800,329.200012
900,407.299988
1000,382.399994
1100,362.100006
1200,516.400024
1300,556.299988
1400,635.799988
1500,701.000000
1600,742.099976
1700,814.900024
1800,853.200012
1900,863.900024
2000,944.200012
2100,994.700012
2200,629.799988
2300,494.799988
2400,1004.000000
2500,1003.900024
2600,1177.500000
2700,1281.500000
2800,1271.000000
2900,1372.800049
3000,1116.500000
3100,1376.800049
3200,554.400024
3300,1346.199951
3400,1452.300049
3500,1619.099976
3600,1640.199951
3700,1753.199951
3800,1701.099976
3900,1805.000000
4000,1819.699951
4100,1875.000000
4200,1922.500000
4300,1981.599976
4400,2161.500000
4500,2116.100098
4600,2250.500000
4700,2190.500000
4800,2276.100098
4900,2331.800049
5000,2420.899902
5100,2427.199951
5200,2334.500000
5300,2444.100098
5400,2555.699951
5500,2593.699951
5600,2551.699951
5700,2651.500000
5800,2773.899902
5900,2806.600098
6000,2892.899902
6100,2845.199951
6200,2911.500000
6300,3000.399902
6400,3105.699951
6500,3129.300049
6600,2386.800049
6700,2651.100098
6800,2925.000000
6900,2194.100098
7000,3072.000000
7100,3153.399902
7200,3179.600098
7300,2549.100098
7400,2069.300049
7500,3285.100098
7600,3229.600098
7700,3389.000000
7800,3495.600098
7900,3409.100098
8000,3717.100098
8100,3776.000000
8200,3766.600098
8300,3721.000000
8400,3765.000000
8500,3837.199951
8600,3957.000000
8700,3976.500000
8800,3593.300049
8900,3830.500000
9000,3515.600098
9100,2006.599976
9200,4003.100098
9300,4149.000000
9400,4226.500000
9500,3445.800049
9600,2361.000000
9700,4102.799805
9800,3861.600098
9900,4113.799805
10000,4289.799805
10100,4599.399902
10200,4546.600098
10300,4545.200195
10400,4803.100098
10500,4690.700195
10600,4773.200195
10700,4873.399902
10800,4819.500000
10900,4904.000000
11000,5103.100098
11100,4996.899902
11200,5198.200195
11300,5209.899902
11400,5290.700195
11500,5328.200195
11600,5507.100098
11700,5326.600098
11800,5599.100098
11900,5605.600098
12000,5607.500000
12100,5454.200195
12200,5536.299805
12300,5804.700195
12400,5801.700195
12500,5936.899902
12600,5851.100098
12700,5924.000000
12800,6012.600098
12900,6059.299805
13000,6043.700195
13100,6175.200195
13200,6345.200195
13300,6430.399902
13400,6300.700195
13500,6363.100098
13600,6496.399902
13700,6446.399902
13800,6606.899902
13900,6654.200195
14000,6609.500000
14100,6716.500000
14200,6604.700195
14300,6747.600098
14400,6953.299805
14500,6847.700195
14600,6829.899902
14700,7009.299805
14800,7097.399902
14900,7158.500000
15000,7256.299805
15100,7175.399902
15200,7298.799805
15300,7304.200195
15400,7353.299805
15500,7298.500000
15600,7405.600098
15700,7384.600098
15800,7467.500000
15900,7536.899902
16000,7661.000000
16100,7668.799805
16200,7673.799805
16300,7744.500000
16400,7663.100098
16500,7623.200195
16600,7956.700195
16700,7860.200195
16800,7947.700195
16900,7976.700195
17000,8129.600098
17100,8183.600098
17200,8068.799805
17300,8272.700195
17400,8400.799805
17500,8381.500000
17600,8367.700195
17700,8499.200195
17800,8458.900391
17900,8596.700195
18000,8648.200195
18100,8675.200195
18200,8752.500000
18300,8751.599609
18400,8812.599609
18500,8886.400391
18600,8912.299805
18700,8943.500000
18800,8974.599609
18900,9035.799805
19000,9090.200195
19100,9049.400391
19200,9103.700195
19300,9197.599609
19400,9273.500000
19500,9358.700195
19600,9362.599609
19700,7439.299805
19800,7056.000000
19900,9357.299805
20000,8486.900391
20100,8529.700195
20200,9304.500000
20300,8978.500000
20400,9521.900391
20500,8552.500000
20600,9052.099609
20700,7954.600098
20800,8303.900391
20900,9443.200195
21000,9551.099609
21100,9559.299805
21200,10054.000000
21300,9899.200195
21400,10082.700195
21500,9850.700195
21600,10029.799805
21700,10202.799805
21800,10098.400391
21900,7788.700195
22000,7985.500000
22100,9481.799805
22200,5820.899902
22300,9991.700195
22400,10274.500000
22500,10082.299805
22600,8427.799805
22700,9610.500000
