arr_size,avg_partition_size
100,46.000000
200,87.000000
300,143.699997
400,193.600006
500,239.600006
600,291.200012
700,313.000000
800,328.200012
900,424.500000
1000,480.700012
1100,510.299988
1200,578.700012
1300,613.700012
1400,692.400024
1500,720.400024
1600,795.400024
1700,829.200012
1800,875.900024
1900,922.799988
2000,986.299988
2100,991.099976
2200,1065.099976
2300,1113.199951
2400,1150.300049
2500,1194.000000
2600,1289.800049
2700,1317.400024
2800,1361.000000
2900,1400.400024
3000,1494.300049
3100,1532.300049
3200,1508.699951
3300,1248.699951
3400,1622.300049
3500,1623.500000
3600,1674.400024
3700,1794.300049
3800,1671.900024
3900,1690.500000
4000,1720.199951
4100,1882.800049
4200,1928.300049
4300,1997.300049
4400,2107.100098
4500,2152.000000
4600,2201.100098
4700,2293.100098
4800,2316.800049
4900,2369.399902
5000,2382.300049
5100,2444.000000
5200,2431.199951
5300,2487.100098
5400,2569.000000
5500,2594.699951
5600,2643.399902
5700,2735.800049
5800,2774.500000
5900,2858.699951
6000,2904.399902
6100,2941.399902
6200,3018.600098
6300,3090.100098
6400,3068.000000
6500,3203.500000
6600,3232.899902
6700,3234.899902
6800,3395.100098
6900,3407.399902
7000,3464.699951
7100,3438.000000
7200,3494.800049
7300,3546.600098
7400,3612.899902
7500,3676.199951
7600,3768.600098
7700,3801.600098
7800,3905.699951
7900,3877.399902
8000,3959.300049
8100,4054.899902
8200,4056.000000
8300,4111.000000
8400,4098.100098
8500,4177.500000
8600,4213.299805
8700,4309.500000
8800,4388.500000
8900,4398.500000
9000,4447.299805
9100,4451.000000
9200,4556.000000
9300,4606.000000
9400,4549.299805
9500,4638.600098
9600,4642.200195
9700,4733.399902
9800,4793.000000
9900,4862.100098
10000,4884.700195
10100,4925.299805
10200,4956.200195
10300,4982.200195
10400,5049.899902
10500,5050.799805
10600,5179.000000
10700,5236.299805
10800,5238.299805
10900,5354.299805
11000,5412.500000
11100,5453.600098
11200,5505.899902
11300,5485.100098
11400,5511.299805
11500,5575.299805
11600,5760.000000
11700,5719.200195
11800,5764.600098
11900,5842.799805
12000,5925.600098
12100,5874.000000
12200,6055.600098
12300,6047.299805
12400,6120.700195
12500,6132.299805
12600,6223.600098
12700,6307.100098
12800,6269.700195
12900,6280.700195
13000,6335.899902
13100,6469.600098
13200,6448.500000
13300,6589.899902
13400,6536.899902
13500,6633.200195
13600,6649.399902
13700,6697.100098
13800,6884.700195
13900,6887.399902
14000,6937.200195
14100,6995.799805
14200,7019.700195
14300,7075.200195
14400,7014.700195
14500,7202.100098
14600,7192.200195
14700,7256.899902
14800,7320.299805
14900,7264.299805
15000,7294.700195
15100,7509.600098
15200,7554.899902
15300,7577.200195
15400,7593.299805
15500,7707.100098
15600,7713.299805
15700,7366.899902
15800,6722.500000
15900,7676.600098
16000,7848.299805
16100,7630.399902
16200,7877.399902
16300,7228.500000
16400,7744.200195
16500,7093.700195
16600,7863.200195
16700,7806.200195
16800,7899.399902
16900,8195.099609
17000,8324.099609
17100,8153.100098
17200,8434.700195
17300,8492.599609
17400,8452.500000
17500,8669.900391
17600,8544.200195
17700,8559.099609
17800,8534.200195
17900,8621.400391
18000,8707.700195
18100,8638.599609
18200,8924.500000
18300,8869.299805
18400,8972.900391
18500,9099.799805
18600,8965.099609
18700,8987.299805
18800,8224.700195
18900,8334.200195
19000,8905.099609
19100,9221.200195
19200,9126.700195
19300,9008.400391
19400,8730.299805
19500,8917.700195
19600,8406.700195
19700,9066.099609
19800,9022.500000
19900,9509.500000
20000,9429.500000
20100,9673.200195
20200,9638.500000
20300,9596.200195
20400,9655.500000
20500,9792.200195
20600,9523.200195
20700,9975.000000
20800,9698.299805
20900,9936.299805
21000,10070.000000
21100,10182.200195
21200,10097.799805
21300,10317.700195
21400,10435.900391
21500,10285.200195
21600,10425.900391
21700,10451.299805
21800,10432.900391
21900,10776.099609
22000,10687.099609
22100,10732.500000
22200,10848.299805
22300,10736.599609
22400,11043.900391
22500,10908.099609
22600,10975.400391
22700,10916.900391
22800,11032.700195
22900,11197.000000
23000,11091.900391
23100,11244.299805
23200,11232.099609
23300,11345.799805
23400,11440.200195
23500,11535.799805
23600,11543.000000
23700,11701.299805
23800,11561.900391
23900,11746.099609
24000,11492.400391
24100,11731.099609
24200,11784.400391
24300,11958.200195
24400,12030.099609
24500,11987.200195
24600,11966.599609
24700,12120.700195
24800,12183.400391
24900,12214.299805
25000,12251.599609
25100,12168.000000
25200,12325.200195
