arr_size,avg_partition_size
100,45.599998
200,95.099998
300,150.300003
400,132.199997
500,211.899994
600,275.700012
700,337.500000
800,395.299988
900,443.799988
1000,505.600006
1100,525.799988
1200,568.599976
1300,607.799988
1400,678.599976
1500,739.099976
1600,786.000000
1700,838.700012
1800,864.000000
1900,914.400024
2000,972.599976
2100,1029.199951
2200,1081.599976
2300,1126.300049
2400,1168.500000
2500,1162.699951
2600,1214.699951
2700,1292.099976
2800,1149.599976
2900,1276.099976
3000,1348.400024
3100,1458.900024
3200,1529.099976
3300,1586.900024
3400,1643.599976
3500,1594.599976
3600,1665.500000
3700,1767.500000
3800,1800.500000
3900,1888.800049
4000,1934.000000
4100,1976.599976
4200,2001.300049
4300,2097.600098
4400,2067.699951
4500,2112.500000
4600,2256.899902
4700,2307.199951
4800,2339.600098
4900,2413.800049
5000,2456.399902
5100,2502.600098
5200,2521.199951
5300,2586.500000
5400,2673.600098
5500,2723.399902
5600,2742.199951
5700,2837.399902
5800,2899.000000
5900,2878.000000
6000,2974.699951
6100,2975.300049
6200,3014.399902
6300,3109.300049
6400,3151.199951
6500,3240.600098
6600,3284.500000
6700,3267.000000
6800,3357.600098
6900,3435.500000
7000,3462.600098
7100,3473.699951
7200,3559.899902
7300,3572.500000
7400,3629.699951
7500,3694.899902
7600,3585.100098
7700,3674.199951
7800,3806.199951
7900,3847.399902
8000,3895.600098
8100,3960.600098
8200,3983.600098
8300,4046.899902
8400,4070.600098
8500,4164.000000
8600,4190.899902
8700,4265.299805
8800,4325.799805
8900,4350.500000
9000,4379.600098
9100,4440.600098
9200,4521.299805
9300,4524.200195
9400,4555.600098
9500,4645.500000
9600,4679.299805
9700,4781.600098
9800,4830.100098
9900,4895.000000
10000,4902.200195
10100,4938.000000
10200,4984.299805
10300,5061.500000
10400,5147.799805
10500,5201.500000
10600,5231.899902
10700,5249.700195
10800,5302.399902
10900,5352.700195
11000,5425.100098
11100,5507.899902
11200,5548.700195
11300,5574.799805
11400,5592.399902
11500,5681.000000
11600,5754.500000
11700,5779.000000
11800,5834.399902
11900,5900.399902
12000,5904.100098
12100,5896.100098
12200,5944.200195
12300,6089.299805
12400,6126.500000
12500,6058.500000
12600,6160.299805
12700,6203.899902
12800,6259.200195
12900,6291.399902
13000,6412.100098
13100,6422.100098
13200,6454.100098
13300,6458.399902
13400,6517.600098
13500,6600.899902
13600,6699.799805
13700,6763.000000
13800,6816.500000
13900,6815.500000
14000,6904.700195
14100,6902.899902
14200,6977.299805
14300,7022.899902
14400,7045.000000
14500,7161.000000
14600,7214.600098
14700,7258.200195
14800,7271.500000
14900,7326.299805
15000,7389.000000
15100,7510.500000
15200,7508.700195
15300,7587.100098
15400,7617.100098
15500,7686.200195
15600,7701.600098
15700,7721.200195
15800,7868.500000
15900,7859.000000
16000,7935.299805
16100,7993.200195
16200,7973.299805
16300,8073.700195
16400,8109.299805
16500,8113.899902
16600,8271.500000
16700,8224.400391
16800,8380.900391
16900,6820.299805
17000,7433.000000
17100,7754.299805
17200,5334.200195
17300,7756.100098
17400,7968.899902
17500,8232.900391
17600,8406.900391
17700,8471.400391
17800,8736.299805
17900,8207.000000
18000,8353.299805
18100,8565.299805
18200,8674.099609
18300,8846.299805
18400,8899.900391
18500,9001.900391
18600,8926.299805
18700,8837.299805
18800,8989.599609
18900,9268.500000
19000,9318.599609
19100,9271.799805
19200,9375.500000
19300,7771.299805
19400,8914.299805
19500,9213.700195
19600,9067.200195
19700,8611.099609
19800,8958.000000
19900,9412.000000
20000,9598.700195
20100,9754.700195
20200,9610.799805
20300,9431.900391
20400,9603.000000
20500,9638.299805
20600,10068.900391
20700,9846.200195
20800,10020.400391
20900,10103.200195
21000,9798.400391
21100,9918.299805
21200,10174.500000
21300,10192.400391
21400,10254.000000
21500,10261.599609
21600,10416.099609
21700,10566.799805
21800,10592.400391
21900,10555.099609
22000,10646.299805
22100,10726.299805
22200,10791.200195
22300,10857.099609
22400,10922.900391
22500,11060.200195
22600,10986.700195
22700,10997.500000
22800,11084.000000
22900,11287.799805
23000,11264.900391
23100,11352.099609
23200,11368.599609
23300,11307.400391
23400,11394.500000
23500,11496.599609
23600,11403.599609
23700,11576.400391
23800,11566.900391
23900,11636.700195
24000,11762.000000
24100,11718.200195
24200,11832.500000
24300,11834.099609
24400,11784.000000
24500,11884.299805
24600,11853.700195
24700,11966.000000
24800,12077.400391
24900,12104.500000
25000,12179.299805
25100,12168.400391
25200,12093.299805
25300,12194.900391
25400,12327.200195
25500,12415.599609
25600,12465.299805
25700,12415.500000
25800,12509.400391
25900,12522.500000
26000,12705.900391
26100,12757.200195
26200,12792.200195
26300,12732.900391
26400,12905.799805
26500,12897.200195
26600,12954.299805
26700,13040.900391
26800,13221.099609
26900,13024.599609
27000,13152.000000
27100,13305.900391
27200,13393.099609
27300,13337.700195
27400,13283.500000
27500,13479.500000
27600,13480.599609
27700,13679.099609
27800,13565.799805
27900,13741.099609
28000,13807.099609
28100,13765.200195
28200,13759.900391
28300,13815.900391
28400,13783.200195
28500,13785.900391
28600,14035.200195
28700,14079.200195
