arr_size,avg_partition_size
100,44.799999
200,95.000000
300,142.399994
400,140.800003
500,208.000000
600,252.399994
700,333.100006
800,392.600006
900,432.899994
1000,469.799988
1100,499.799988
1200,558.599976
1300,610.500000
1400,661.500000
1500,709.799988
1600,771.000000
1700,816.700012
1800,842.900024
1900,873.299988
2000,920.200012
2100,1001.400024
2200,1062.199951
2300,1103.199951
2400,1141.199951
2500,1017.799988
2600,1198.099976
2700,1249.400024
2800,1300.699951
2900,1210.500000
3000,1303.300049
3100,1396.800049
3200,1455.900024
3300,1514.699951
3400,1560.500000
3500,1577.300049
3600,1660.500000
3700,1637.000000
3800,1745.599976
3900,1827.500000
4000,1885.000000
4100,1912.900024
4200,1976.400024
4300,1958.400024
4400,2049.500000
4500,2093.199951
4600,2167.600098
4700,2218.699951
4800,2248.800049
4900,2331.000000
5000,2381.000000
5100,2414.199951
5200,2464.600098
5300,2476.399902
5400,2592.000000
5500,2639.500000
5600,2678.800049
5700,2740.300049
5800,2766.500000
5900,2772.800049
6000,2828.300049
6100,2899.600098
6200,2961.100098
6300,3008.699951
6400,3091.899902
6500,3116.500000
6600,3155.899902
6700,3203.100098
6800,3250.199951
6900,3300.899902
7000,3395.100098
7100,3355.600098
7200,3477.899902
7300,3397.100098
7400,3500.100098
7500,3567.800049
7600,3538.699951
7700,3660.800049
7800,3696.199951
7900,3685.300049
8000,3782.300049
8100,3868.600098
8200,3910.000000
8300,3969.899902
8400,4014.600098
8500,3997.899902
8600,4103.399902
8700,4178.200195
8800,4188.700195
8900,4274.000000
9000,4232.899902
9100,4380.799805
9200,4365.600098
9300,4426.500000
9400,4466.200195
9500,4546.600098
9600,4512.000000
9700,4654.100098
9800,4708.000000
9900,4726.200195
10000,4801.100098
10100,4685.799805
10200,4870.399902
10300,4935.500000
10400,5003.500000
10500,5041.899902
10600,5073.500000
10700,5057.000000
10800,5208.200195
10900,5239.799805
11000,5298.399902
11100,5336.600098
11200,5372.700195
11300,5415.799805
11400,5466.299805
11500,5539.299805
11600,5585.799805
11700,5632.200195
11800,5657.700195
11900,5718.799805
12000,5748.100098
12100,5799.500000
12200,5812.200195
12300,5915.799805
12400,5953.200195
12500,6024.100098
12600,5950.600098
12700,6044.500000
12800,6151.700195
12900,6158.399902
13000,6258.399902
13100,6311.200195
13200,6231.399902
13300,6188.700195
13400,6416.000000
13500,6411.000000
13600,6511.200195
13700,6553.399902
13800,6658.299805
13900,6600.799805
14000,6632.100098
14100,6745.299805
14200,6800.500000
14300,6826.799805
14400,6842.799805
14500,6891.600098
14600,7000.200195
14700,7046.700195
14800,7084.799805
14900,7118.500000
15000,7134.399902
15100,7256.700195
15200,7225.200195
