arr_size,avg_partition_size
100,40.799999
200,84.500000
300,138.399994
400,174.899994
500,226.100006
600,282.700012
700,343.799988
800,345.700012
900,422.200012
1000,356.700012
1100,405.200012
1200,527.799988
1300,613.599976
1400,625.200012
1500,737.599976
1600,792.099976
1700,836.299988
1800,877.099976
1900,916.599976
2000,989.099976
2100,1003.299988
2200,541.599976
2300,462.500000
2400,1081.699951
2500,1082.699951
2600,1164.400024
2700,1294.599976
2800,1275.599976
2900,1397.500000
3000,1187.000000
3100,1375.099976
3200,453.600006
3300,1217.500000
3400,1566.599976
3500,1557.699951
3600,1700.099976
3700,1776.000000
3800,1800.699951
3900,1787.300049
4000,1858.800049
4100,1957.199951
4200,2011.400024
4300,2064.399902
4400,2178.000000
4500,2156.300049
4600,2243.399902
4700,2253.500000
4800,2403.000000
4900,2385.300049
5000,2485.300049
5100,2496.600098
5200,2492.199951
5300,2575.800049
5400,2646.100098
5500,2663.600098
5600,2766.399902
5700,2768.300049
5800,2802.100098
5900,2879.800049
6000,2862.100098
6100,3033.100098
6200,3030.899902
6300,3106.399902
6400,3115.100098
6500,3205.500000
6600,1643.800049
6700,2596.699951
6800,3209.800049
6900,1717.199951
7000,3177.699951
7100,3271.500000
7200,3400.199951
7300,2496.800049
7400,1825.000000
7500,3126.500000
7600,3145.699951
7700,3265.500000
7800,3646.600098
7900,3588.800049
8000,3772.100098
8100,3918.300049
8200,3893.300049
8300,3935.600098
8400,4041.199951
8500,4073.800049
8600,4183.000000
8700,4184.000000
8800,3556.800049
8900,3806.699951
9000,3641.000000
9100,3372.300049
9200,4313.200195
9300,4436.000000
9400,4376.899902
9500,3757.899902
9600,2946.100098
9700,4402.299805
9800,4381.000000
9900,4585.299805
10000,4609.399902
10100,4666.399902
10200,4804.799805
10300,4857.200195
10400,4964.100098
10500,4963.399902
10600,5066.899902
10700,5086.799805
10800,5170.000000
10900,5229.500000
11000,5223.299805
11100,5357.899902
11200,5386.000000
11300,5359.399902
11400,5419.700195
11500,5530.799805
11600,5630.799805
11700,5518.700195
11800,5645.399902
11900,5827.100098
12000,5720.000000
12100,5794.200195
12200,5971.299805
12300,6024.899902
12400,6033.899902
12500,6013.500000
12600,6156.899902
12700,6208.600098
12800,6188.000000
12900,6281.600098
13000,6322.200195
13100,6388.399902
13200,6485.500000
13300,6715.000000
13400,6541.000000
13500,6649.399902
13600,6637.500000
13700,6773.799805
13800,6900.399902
13900,6868.200195
14000,6828.100098
14100,6818.700195
14200,6951.799805
14300,7004.700195
14400,7126.200195
14500,7187.600098
14600,7234.200195
14700,7207.299805
14800,7372.200195
14900,7337.399902
15000,7381.399902
15100,7546.200195
15200,7537.700195
15300,7630.799805
15400,7574.200195
15500,7528.899902
15600,7583.500000
15700,7564.399902
