arr_size,avg_time
100,0.003700
200,0.006600
300,0.008800
400,0.015900
500,0.012500
600,0.013100
700,0.017900
800,0.018500
900,0.021000
1000,0.020100
1100,0.024100
1200,0.025200
1300,0.026900
1400,0.028700
1500,0.032000
1600,0.035100
1700,0.033800
1800,0.035900
1900,0.038500
2000,0.042700
2100,0.041000
2200,0.045600
2300,0.044900
2400,0.047000
2500,0.047100
2600,0.049900
2700,0.051000
2800,0.054700
2900,0.059500
3000,0.061200
3100,0.062600
3200,0.069900
3300,0.061800
3400,0.071200
3500,0.065200
3600,0.070000
3700,0.077000
3800,0.071500
3900,0.079000
4000,0.091700
4100,0.087100
4200,0.079800
4300,0.082800
4400,0.082900
4500,0.090800
4600,0.096600
4700,0.089300
4800,0.101200
4900,0.096600
5000,0.098100
5100,0.096100
5200,0.096700
5300,0.102100
5400,0.105400
5500,0.110900
5600,0.099800
5700,0.115300
5800,0.111900
5900,0.109200
6000,0.107500
6100,0.110200
6200,0.112200
6300,0.112900
6400,0.114500
6500,0.114300
6600,0.122300
6700,0.116300
6800,0.119800
6900,0.119700
7000,0.120700
7100,0.125200
7200,0.127000
7300,0.126900
7400,0.128900
7500,0.129800
7600,0.134400
7700,0.142900
7800,0.135600
7900,0.134900
8000,0.137600
8100,0.142000
8200,0.141100
8300,0.143500
8400,0.145500
8500,0.146000
8600,0.145700
8700,0.149500
8800,0.154600
8900,0.151100
9000,0.160700
9100,0.163500
9200,0.157500
9300,0.159300
9400,0.166900
9500,0.176100
9600,0.177400
9700,0.216000
9800,0.167300
9900,0.171100
10000,0.173100
10100,0.191300
10200,0.177100
10300,0.179700
10400,0.182600
10500,0.177600
10600,0.184000
10700,0.193200
10800,0.185100
10900,0.188600
11000,0.195600
11100,0.194100
11200,0.190700
11300,0.193300
11400,0.199900
11500,0.194600
11600,0.198300
11700,0.201200
11800,0.215000
11900,0.218100
12000,0.215100
12100,0.208300
12200,0.208800
12300,0.224900
12400,0.209400
12500,0.225800
12600,0.221300
12700,0.214600
12800,0.218900
12900,0.221800
13000,0.231100
13100,0.228900
13200,0.228500
13300,0.238300
13400,0.228300
13500,0.237100
13600,0.241300
13700,0.234900
13800,0.238000
13900,0.241700
14000,0.239100
14100,0.253700
14200,0.244200
14300,0.250300
14400,0.252800
14500,0.260400
14600,0.264000
14700,0.281800
14800,0.274900
14900,0.270400
15000,0.269600
15100,0.269000
15200,0.276900
15300,0.272100
15400,0.285100
15500,0.289100
15600,0.285800
15700,0.291600
15800,0.292400
15900,0.294500
16000,0.284500
16100,0.282400
16200,0.293600
16300,0.295900
16400,0.289500
16500,0.292300
16600,0.307300
16700,0.291100
16800,0.298300
16900,0.292900
17000,0.303400
17100,0.296500
17200,0.298200
17300,0.308100
17400,0.303100
17500,0.327700
17600,0.335100
17700,0.338100
17800,0.329600
17900,0.330700
18000,0.339800
18100,0.338400
18200,0.330200
18300,0.314700
18400,0.330100
18500,0.350600
18600,0.352200
18700,0.335100
18800,0.329700
18900,0.340500
19000,0.339400
19100,0.333800
19200,0.350300
19300,0.339200
19400,0.353200
19500,0.349100
19600,0.341100
19700,0.346600
19800,0.355800
19900,0.378100
20000,0.355700
20100,0.374800
20200,0.381100
20300,0.352200
20400,0.379500
20500,0.380900
20600,0.380900
20700,0.387300
20800,0.382500
20900,0.367800
21000,0.367000
21100,0.363200
21200,0.365300
21300,0.369200
21400,0.375300
21500,0.380500
21600,0.377900
21700,0.368800
21800,0.386000
21900,0.393800
22000,0.388400
22100,0.390800
22200,0.384700
22300,0.386600
22400,0.394200
22500,0.393600
22600,0.398000
22700,0.399100
22800,0.395300
22900,0.446900
23000,0.440400
23100,0.446000
23200,0.403900
23300,0.418000
23400,0.423700
23500,0.413600
23600,0.424800
23700,0.425200
23800,0.454500
23900,0.435300
24000,0.446900
24100,0.446000
24200,0.441600
24300,0.452900
24400,0.442800
24500,0.437200
24600,0.428100
24700,0.465300
24800,0.461800
24900,0.434100
25000,0.436000
25100,0.446700
25200,0.461500
25300,0.464400
25400,0.464600
25500,0.466300
25600,0.480900
25700,0.475200
25800,0.469600
25900,0.479000
26000,0.463300
26100,0.463300
26200,0.485000
26300,0.486400
26400,0.495300
26500,0.492800
26600,0.509100
26700,0.509300
26800,0.507700
26900,0.501100
27000,0.520200
27100,0.517000
27200,0.505600
27300,0.509800
27400,0.509600
27500,0.521400
27600,0.529000
27700,0.521400
27800,0.511000
27900,0.512600
28000,0.523000
28100,0.539600
28200,0.530800
28300,0.534600
28400,0.567800
28500,0.618800
28600,0.593600
28700,0.560000
28800,0.565400
28900,0.556000
29000,0.610200
29100,0.706200
