arr_size,avg_time
100,0.003300
200,0.005300
300,0.007300
400,0.008700
500,0.012600
600,0.012400
700,0.014600
800,0.016600
900,0.019500
1000,0.021200
1100,0.023300
1200,0.024300
1300,0.027500
1400,0.030500
1500,0.031000
1600,0.030200
1700,0.041100
1800,0.033500
1900,0.038100
2000,0.037400
2100,0.041900
2200,0.045700
2300,0.049400
2400,0.052400
2500,0.047100
2600,0.051500
2700,0.054100
2800,0.066000
2900,0.054200
3000,0.056400
3100,0.067300
3200,0.069100
3300,0.066300
3400,0.072000
3500,0.072700
3600,0.074800
3700,0.079700
3800,0.076300
3900,0.074800
4000,0.077700
4100,0.078200
4200,0.097100
4300,0.091400
4400,0.087600
4500,0.094800
4600,0.102800
4700,0.104900
4800,0.105100
4900,0.120300
5000,0.112200
5100,0.117700
5200,0.121700
5300,0.140000
5400,0.132500
5500,0.132500
5600,0.111000
5700,0.105900
5800,0.101600
5900,0.104800
6000,0.107300
6100,0.106200
6200,0.116000
6300,0.114300
6400,0.116400
6500,0.112400
6600,0.117100
6700,0.119100
6800,0.125700
6900,0.119000
7000,0.129000
7100,0.131000
7200,0.137000
7300,0.139800
7400,0.144700
7500,0.137500
7600,0.141400
7700,0.148800
7800,0.147900
7900,0.145000
8000,0.155200
8100,0.152200
8200,0.158400
8300,0.154500
8400,0.158000
8500,0.161100
8600,0.161600
8700,0.159700
8800,0.173500
8900,0.169900
9000,0.171300
9100,0.175100
9200,0.175000
9300,0.185900
9400,0.178000
9500,0.177200
9600,0.183400
9700,0.181100
9800,0.194200
9900,0.183200
10000,0.200100
10100,0.200000
10200,0.196100
10300,0.200100
10400,0.216600
10500,0.197500
10600,0.194900
10700,0.195200
10800,0.201600
10900,0.205200
11000,0.203000
11100,0.201500
11200,0.224100
11300,0.229300
11400,0.215200
11500,0.217600
11600,0.221900
11700,0.237900
11800,0.243900
11900,0.252900
12000,0.213500
12100,0.212900
12200,0.223700
12300,0.221100
12400,0.226800
12500,0.227600
12600,0.229600
12700,0.233100
12800,0.251400
12900,0.236500
13000,0.252700
13100,0.243100
13200,0.232000
13300,0.239000
13400,0.249100
13500,0.257300
13600,0.258300
13700,0.256600
13800,0.258300
13900,0.264600
14000,0.261700
14100,0.268100
14200,0.264600
14300,0.265200
14400,0.267200
14500,0.276000
14600,0.277400
14700,0.274400
14800,0.288700
14900,0.281500
15000,0.290900
15100,0.284000
15200,0.291900
